Model,Member,Var,Season,Stat,value,Rank
AWI-CM-1-1-MR,r2i1p1f1,pr,SON,BIAS,-2.2,NA
AWI-CM-1-1-MR,r3i1p1f1,pr,DJF,RMSE,4.2,NA
AWI-CM-1-1-MR,r3i1p1f1,pr,DJF,BIAS,-0.1,NA
AWI-CM-1-1-MR,r3i1p1f1,pr,MAM,RMSE,5.4,NA
AWI-CM-1-1-MR,r3i1p1f1,pr,MAM,BIAS,-1.6,NA
AWI-CM-1-1-MR,r3i1p1f1,pr,JJA,RMSE,8.6,NA
AWI-CM-1-1-MR,r3i1p1f1,pr,JJA,BIAS,-4,NA
AWI-CM-1-1-MR,r3i1p1f1,pr,SON,RMSE,5.6,NA
AWI-CM-1-1-MR,r3i1p1f1,pr,SON,BIAS,1.2,NA
AWI-CM-1-1-MR,r4i1p1f1,pr,DJF,RMSE,4.2,NA
AWI-CM-1-1-MR,r4i1p1f1,pr,DJF,BIAS,-0.5,NA
AWI-CM-1-1-MR,r4i1p1f1,pr,MAM,RMSE,5.2,NA
AWI-CM-1-1-MR,r4i1p1f1,pr,MAM,BIAS,2,NA
AWI-CM-1-1-MR,r4i1p1f1,pr,JJA,RMSE,7.9,NA
AWI-CM-1-1-MR,r4i1p1f1,pr,JJA,BIAS,1.1,NA
AWI-CM-1-1-MR,r4i1p1f1,pr,SON,RMSE,6.7,NA
AWI-CM-1-1-MR,r4i1p1f1,pr,SON,BIAS,2.7,NA
AWI-CM-1-1-MR,r5i1p1f1,pr,DJF,RMSE,4.1,NA
AWI-CM-1-1-MR,r5i1p1f1,pr,DJF,BIAS,-1.3,NA
AWI-CM-1-1-MR,r5i1p1f1,pr,MAM,RMSE,5.4,NA
AWI-CM-1-1-MR,r5i1p1f1,pr,MAM,BIAS,-1.9,NA
AWI-CM-1-1-MR,r5i1p1f1,pr,JJA,RMSE,8.2,NA
AWI-CM-1-1-MR,r5i1p1f1,pr,JJA,BIAS,-1.9,NA
AWI-CM-1-1-MR,r5i1p1f1,pr,SON,RMSE,5.8,NA
AWI-CM-1-1-MR,r5i1p1f1,pr,SON,BIAS,-3.2,NA
BCC-CSM2-MR,r1i1p1f1,pr,DJF,RMSE,1.7,NA
BCC-CSM2-MR,r1i1p1f1,pr,DJF,BIAS,-0.1,NA
BCC-CSM2-MR,r1i1p1f1,pr,MAM,RMSE,2.7,NA
BCC-CSM2-MR,r1i1p1f1,pr,MAM,BIAS,-0.2,NA
BCC-CSM2-MR,r1i1p1f1,pr,JJA,RMSE,4.8,NA
BCC-CSM2-MR,r1i1p1f1,pr,JJA,BIAS,-0.8,NA
BCC-CSM2-MR,r1i1p1f1,pr,SON,RMSE,2.5,NA
BCC-CSM2-MR,r1i1p1f1,pr,SON,BIAS,0.5,NA
CESM2-LENS,r1i1p1f1,pr,DJF,RMSE,4.4,NA
CESM2-LENS,r1i1p1f1,pr,DJF,BIAS,1.5,NA
CESM2-LENS,r1i1p1f1,pr,MAM,RMSE,5.3,NA
CESM2-LENS,r1i1p1f1,pr,MAM,BIAS,-0.5,NA
CESM2-LENS,r1i1p1f1,pr,JJA,RMSE,6.8,NA
CESM2-LENS,r1i1p1f1,pr,JJA,BIAS,-2.6,NA
CESM2-LENS,r1i1p1f1,pr,SON,RMSE,4.8,NA
CESM2-LENS,r1i1p1f1,pr,SON,BIAS,0.5,NA
CESM2-LENS,r2i1p1f1,pr,DJF,RMSE,5.1,NA
CESM2-LENS,r2i1p1f1,pr,DJF,BIAS,-0.2,NA
CESM2-LENS,r2i1p1f1,pr,MAM,RMSE,4.6,NA
CESM2-LENS,r2i1p1f1,pr,MAM,BIAS,-1,NA
CESM2-LENS,r2i1p1f1,pr,JJA,RMSE,7.1,NA
CESM2-LENS,r2i1p1f1,pr,JJA,BIAS,-1.4,NA
CESM2-LENS,r2i1p1f1,pr,SON,RMSE,5.8,NA
CESM2-LENS,r2i1p1f1,pr,SON,BIAS,1.3,NA
CESM2-LENS,r3i1p1f1,pr,DJF,RMSE,4.2,NA
CESM2-LENS,r3i1p1f1,pr,DJF,BIAS,-2.4,NA
CESM2-LENS,r3i1p1f1,pr,MAM,RMSE,5,NA
CESM2-LENS,r3i1p1f1,pr,MAM,BIAS,1.4,NA
CESM2-LENS,r3i1p1f1,pr,JJA,RMSE,6.3,NA
CESM2-LENS,r3i1p1f1,pr,JJA,BIAS,0.3,NA
CESM2-LENS,r3i1p1f1,pr,SON,RMSE,5.8,NA
CESM2-LENS,r3i1p1f1,pr,SON,BIAS,-0.6,NA
CESM2-LENS,r4i1p1f1,pr,DJF,RMSE,4.5,NA
CESM2-LENS,r4i1p1f1,pr,DJF,BIAS,-2.5,NA
CESM2-LENS,r4i1p1f1,pr,MAM,RMSE,4.6,NA
CESM2-LENS,r4i1p1f1,pr,MAM,BIAS,-0.4,NA
CESM2-LENS,r4i1p1f1,pr,JJA,RMSE,6.6,NA
CESM2-LENS,r4i1p1f1,pr,JJA,BIAS,0,NA
CESM2-LENS,r4i1p1f1,pr,SON,RMSE,5.1,NA
CESM2-LENS,r4i1p1f1,pr,SON,BIAS,0.6,NA
CESM2-LENS,r5i1p1f1,pr,DJF,RMSE,4.5,NA
CESM2-LENS,r5i1p1f1,pr,DJF,BIAS,-1.5,NA
CESM2-LENS,r5i1p1f1,pr,MAM,RMSE,5.4,NA
CESM2-LENS,r5i1p1f1,pr,MAM,BIAS,-1,NA
CESM2-LENS,r5i1p1f1,pr,JJA,RMSE,7.3,NA
CESM2-LENS,r5i1p1f1,pr,JJA,BIAS,-0.4,NA
CESM2-LENS,r5i1p1f1,pr,SON,RMSE,4.5,NA
CESM2-LENS,r5i1p1f1,pr,SON,BIAS,0.1,NA
CESM2-LENS,r6i1p1f1,pr,DJF,RMSE,4.6,NA
CESM2-LENS,r6i1p1f1,pr,DJF,BIAS,2.4,NA
CESM2-LENS,r6i1p1f1,pr,MAM,RMSE,5.7,NA
CESM2-LENS,r6i1p1f1,pr,MAM,BIAS,-1.2,NA
CESM2-LENS,r6i1p1f1,pr,JJA,RMSE,5.9,NA
CESM2-LENS,r6i1p1f1,pr,JJA,BIAS,-0.8,NA
CESM2-LENS,r6i1p1f1,pr,SON,RMSE,4.6,NA
CESM2-LENS,r6i1p1f1,pr,SON,BIAS,1.1,NA
CESM2-LENS,r7i1p1f1,pr,DJF,RMSE,5.7,NA
CESM2-LENS,r7i1p1f1,pr,DJF,BIAS,-0.5,NA
CESM2-LENS,r7i1p1f1,pr,MAM,RMSE,4.4,NA
CESM2-LENS,r7i1p1f1,pr,MAM,BIAS,0.4,NA
CESM2-LENS,r7i1p1f1,pr,JJA,RMSE,7,NA
CESM2-LENS,r7i1p1f1,pr,JJA,BIAS,-2.1,NA
CESM2-LENS,r7i1p1f1,pr,SON,RMSE,4.2,NA
CESM2-LENS,r7i1p1f1,pr,SON,BIAS,0.1,NA
CESM2-LENS,r8i1p1f1,pr,DJF,RMSE,4.3,NA
CESM2-LENS,r8i1p1f1,pr,DJF,BIAS,-0.3,NA
CESM2-LENS,r8i1p1f1,pr,MAM,RMSE,5.3,NA
CESM2-LENS,r8i1p1f1,pr,MAM,BIAS,-0.3,NA
CESM2-LENS,r8i1p1f1,pr,JJA,RMSE,7.6,NA
CESM2-LENS,r8i1p1f1,pr,JJA,BIAS,-2.3,NA
CESM2-LENS,r8i1p1f1,pr,SON,RMSE,6.7,NA
CESM2-LENS,r8i1p1f1,pr,SON,BIAS,-0.2,NA
CESM2-LENS,r9i1p1f1,pr,DJF,RMSE,3.8,NA
CESM2-LENS,r9i1p1f1,pr,DJF,BIAS,-0.2,NA
CESM2-LENS,r9i1p1f1,pr,MAM,RMSE,5.9,NA
CESM2-LENS,r9i1p1f1,pr,MAM,BIAS,1.7,NA
CESM2-LENS,r9i1p1f1,pr,JJA,RMSE,7.7,NA
CESM2-LENS,r9i1p1f1,pr,JJA,BIAS,1.3,NA
CESM2-LENS,r9i1p1f1,pr,SON,RMSE,5.5,NA
CESM2-LENS,r9i1p1f1,pr,SON,BIAS,-0.6,NA
CESM2-LENS,r10i1p1f1,pr,DJF,RMSE,4,NA
CESM2-LENS,r10i1p1f1,pr,DJF,BIAS,2.1,NA
CESM2-LENS,r10i1p1f1,pr,MAM,RMSE,5.9,NA
CESM2-LENS,r10i1p1f1,pr,MAM,BIAS,-2.3,NA
CESM2-LENS,r10i1p1f1,pr,JJA,RMSE,6.6,NA
CESM2-LENS,r10i1p1f1,pr,JJA,BIAS,-0.9,NA
CESM2-LENS,r10i1p1f1,pr,SON,RMSE,5.4,NA
CESM2-LENS,r10i1p1f1,pr,SON,BIAS,-0.2,NA
CNRM-CM6-1,r1i1p1f2,pr,DJF,RMSE,1.9,NA
CNRM-CM6-1,r1i1p1f2,pr,DJF,BIAS,0,NA
CNRM-CM6-1,r1i1p1f2,pr,MAM,RMSE,2.7,NA
CNRM-CM6-1,r1i1p1f2,pr,MAM,BIAS,-0.1,NA
CNRM-CM6-1,r1i1p1f2,pr,JJA,RMSE,5,NA
CNRM-CM6-1,r1i1p1f2,pr,JJA,BIAS,-0.8,NA
CNRM-CM6-1,r1i1p1f2,pr,SON,RMSE,2.4,NA
CNRM-CM6-1,r1i1p1f2,pr,SON,BIAS,0.3,NA
CNRM-CM6-1-HR,r1i1p1f2,pr,DJF,RMSE,2.2,NA
CNRM-CM6-1-HR,r1i1p1f2,pr,DJF,BIAS,-0.3,NA
CNRM-CM6-1-HR,r1i1p1f2,pr,MAM,RMSE,3,NA
CNRM-CM6-1-HR,r1i1p1f2,pr,MAM,BIAS,-0.5,NA
CNRM-CM6-1-HR,r1i1p1f2,pr,JJA,RMSE,5.3,NA
CNRM-CM6-1-HR,r1i1p1f2,pr,JJA,BIAS,-0.9,NA
CNRM-CM6-1-HR,r1i1p1f2,pr,SON,RMSE,2.4,NA
CNRM-CM6-1-HR,r1i1p1f2,pr,SON,BIAS,0.1,NA
CNRM-ESM2-1,r1i1p1f2,pr,DJF,RMSE,2.2,NA
CNRM-ESM2-1,r1i1p1f2,pr,DJF,BIAS,-0.2,NA
CNRM-ESM2-1,r1i1p1f2,pr,MAM,RMSE,2.7,NA
CNRM-ESM2-1,r1i1p1f2,pr,MAM,BIAS,-0.2,NA
CNRM-ESM2-1,r1i1p1f2,pr,JJA,RMSE,5.1,NA
CNRM-ESM2-1,r1i1p1f2,pr,JJA,BIAS,-0.8,NA
CNRM-ESM2-1,r1i1p1f2,pr,SON,RMSE,2.4,NA
CNRM-ESM2-1,r1i1p1f2,pr,SON,BIAS,0,NA
CanESM5,r1i1p1f1,pr,DJF,RMSE,4.7,NA
CanESM5,r1i1p1f1,pr,DJF,BIAS,2.1,NA
CanESM5,r1i1p1f1,pr,MAM,RMSE,4.8,NA
CanESM5,r1i1p1f1,pr,MAM,BIAS,0.4,NA
CanESM5,r1i1p1f1,pr,JJA,RMSE,6,NA
CanESM5,r1i1p1f1,pr,JJA,BIAS,0.3,NA
CanESM5,r1i1p1f1,pr,SON,RMSE,5.1,NA
CanESM5,r1i1p1f1,pr,SON,BIAS,0.5,NA
CanESM5,r2i1p1f1,pr,DJF,RMSE,4.8,NA
CanESM5,r2i1p1f1,pr,DJF,BIAS,-0.3,NA
CanESM5,r2i1p1f1,pr,MAM,RMSE,6.3,NA
CanESM5,r2i1p1f1,pr,MAM,BIAS,-2.8,NA
CanESM5,r2i1p1f1,pr,JJA,RMSE,6.4,NA
CanESM5,r2i1p1f1,pr,JJA,BIAS,0.1,NA
CanESM5,r2i1p1f1,pr,SON,RMSE,6.5,NA
CanESM5,r2i1p1f1,pr,SON,BIAS,0.9,NA
