Model,Member,value,Var,Season,Stat,Rank
INM-CM5-0,r1i1p1f1,9.92068546,All,Annual,Both,3
NorESM2-LM,r1i1p1f1,10.30291221,All,Annual,Both,3
CESM2-LENS,r1i1p1f1,11.24988889,All,Annual,Both,6
HadGEM3-GC31-LL,r1i1p1f3,11.36001761,All,Annual,Both,3
EC-Earth3,r1i1p1f1,11.5823141,All,Annual,Both,4
IPSL-CM6A-LR,r1i1p1f1,11.81270502,All,Annual,Both,6
EC-Earth3-Veg,r1i1p1f1,12.30121945,All,Annual,Both,4
MPI-ESM1-2-HR,r1i1p1f1,12.38749369,All,Annual,Both,4
MPI-ESM1-2-LR,r1i1p1f1,13.74227055,All,Annual,Both,8
