Model,Member,Var,Season,RMSE,BIAS,Both
INM-CM5-0,r1i1p1f1,pr,DJF,3.8,0.5,3.83275357934736
INM-CM5-0,r1i1p1f1,pr,MAM,4.5,0.7,4.55411901469428
INM-CM5-0,r1i1p1f1,pr,JJA,6.1,0.6,6.129437168288781
INM-CM5-0,r1i1p1f1,pr,SON,5,-0.5,5.024937810560445
INM-CM5-0,r2i1p1f1,pr,DJF,3.4,-0.2,3.40587727318528
INM-CM5-0,r2i1p1f1,pr,MAM,7.5,1.9,7.73692445355388
INM-CM5-0,r2i1p1f1,pr,JJA,6.7,0,6.7
INM-CM5-0,r2i1p1f1,pr,SON,5.9,1.7,6.1400325732035
INM-CM5-0,r3i1p1f1,pr,DJF,2.9,0,2.9
INM-CM5-0,r3i1p1f1,pr,MAM,5.4,-1.2,5.531726674375733
INM-CM5-0,r3i1p1f1,pr,JJA,6,-1.3,6.139218191268331
INM-CM5-0,r3i1p1f1,pr,SON,3.9,0.1,3.9012818406262317
INM-CM5-0,r4i1p1f1,pr,DJF,2.9,0,2.9
INM-CM5-0,r4i1p1f1,pr,MAM,5.3,-1.1,5.412947441089743
INM-CM5-0,r4i1p1f1,pr,JJA,6,-1.3,6.139218191268331
INM-CM5-0,r4i1p1f1,pr,SON,3.9,0.1,3.9012818406262317
INM-CM5-0,r5i1p1f1,pr,DJF,4.5,-0.2,4.504442251822083
INM-CM5-0,r5i1p1f1,pr,MAM,5.2,-1.1,5.315072906367325
INM-CM5-0,r5i1p1f1,pr,JJA,6.7,-0.3,6.706713054842886
INM-CM5-0,r5i1p1f1,pr,SON,5.2,-0.8,5.261178575186363
IPSL-CM6A-LR,r1i1p1f1,pr,DJF,4.5,-0.6,4.539823785126467
IPSL-CM6A-LR,r1i1p1f1,pr,MAM,5.2,-0.7,5.246903848937962
IPSL-CM6A-LR,r1i1p1f1,pr,JJA,7.1,-1.2,7.200694410957876
IPSL-CM6A-LR,r1i1p1f1,pr,SON,6.1,0.2,6.103277807866851
IPSL-CM6A-LR,r2i1p1f1,pr,DJF,4.5,1.1,4.632493928760188
IPSL-CM6A-LR,r2i1p1f1,pr,MAM,5.5,1.1,5.608921464952063
IPSL-CM6A-LR,r2i1p1f1,pr,JJA,7,0.3,7.006425622241344
IPSL-CM6A-LR,r2i1p1f1,pr,SON,5.2,1.2,5.336665625650534
IPSL-CM6A-LR,r3i1p1f1,pr,DJF,4,-1.3,4.205948168962618
IPSL-CM6A-LR,r3i1p1f1,pr,MAM,5.1,-1.4,5.288667128870941
IPSL-CM6A-LR,r3i1p1f1,pr,JJA,7,-1.1,7.08590149522275
IPSL-CM6A-LR,r3i1p1f1,pr,SON,4.3,-1.1,4.43846820423443
IPSL-CM6A-LR,r4i1p1f1,pr,DJF,3.9,0.5,3.9319206502674997
IPSL-CM6A-LR,r4i1p1f1,pr,MAM,6.7,-2.4,7.116881339463234
IPSL-CM6A-LR,r4i1p1f1,pr,JJA,7.5,-1.1,7.58023746329889
IPSL-CM6A-LR,r4i1p1f1,pr,SON,5.4,1,5.491812087098393
IPSL-CM6A-LR,r5i1p1f1,pr,DJF,4.9,-2.1,5.331041174104736
IPSL-CM6A-LR,r5i1p1f1,pr,MAM,5.5,1.7,5.756735185849702
IPSL-CM6A-LR,r5i1p1f1,pr,JJA,6.9,0.3,6.906518659932804
IPSL-CM6A-LR,r5i1p1f1,pr,SON,4.9,-1,5.000999900019996
IPSL-CM6A-LR,r6i1p1f1,pr,DJF,5.8,-2.9,6.48459713474939
IPSL-CM6A-LR,r6i1p1f1,pr,MAM,5,-0.7,5.048762224545735
IPSL-CM6A-LR,r6i1p1f1,pr,JJA,8.2,-2.9,8.697700845625814
IPSL-CM6A-LR,r6i1p1f1,pr,SON,4.9,1.5,5.1244511901275835
IPSL-CM6A-LR,r7i1p1f1,pr,DJF,6,4.2,7.323933369440222
IPSL-CM6A-LR,r7i1p1f1,pr,MAM,5.2,0,5.2
IPSL-CM6A-LR,r7i1p1f1,pr,JJA,7.8,1.1,7.877182237323192
IPSL-CM6A-LR,r7i1p1f1,pr,SON,5.6,0.8,5.65685424949238
IPSL-CM6A-LR,r8i1p1f1,pr,DJF,4.5,1.1,4.632493928760188
IPSL-CM6A-LR,r8i1p1f1,pr,MAM,5.5,0.3,5.508175741568165
IPSL-CM6A-LR,r8i1p1f1,pr,JJA,7.4,-0.4,7.410802925459562
IPSL-CM6A-LR,r8i1p1f1,pr,SON,5.1,1,5.197114584074513
IPSL-CM6A-LR,r9i1p1f1,pr,DJF,5.6,0.7,5.643580423808984
IPSL-CM6A-LR,r9i1p1f1,pr,MAM,5.1,-0.8,5.162363799656123
IPSL-CM6A-LR,r9i1p1f1,pr,JJA,7.1,-0.9,7.1568149340331555
IPSL-CM6A-LR,r9i1p1f1,pr,SON,5.2,1.4,5.385164807134505
IPSL-CM6A-LR,r10i1p1f1,pr,DJF,4.5,-0.9,4.589117562233506
IPSL-CM6A-LR,r10i1p1f1,pr,MAM,4.9,0.7,4.949747468305833
IPSL-CM6A-LR,r10i1p1f1,pr,JJA,8.4,-2.3,8.709190547921201
IPSL-CM6A-LR,r10i1p1f1,pr,SON,5.2,-1.2,5.336665625650534
KACE-1-0-G,r1i1p1f1,pr,DJF,3.9,0.2,3.905124837953327
KACE-1-0-G,r1i1p1f1,pr,MAM,6,1,6.082762530298219
KACE-1-0-G,r1i1p1f1,pr,JJA,7.4,1.5,7.550496672405068
KACE-1-0-G,r1i1p1f1,pr,SON,4.3,0.7,4.356604182158392
KACE-1-0-G,r2i1p1f1,pr,DJF,4.6,1.8,4.9396356140913875
KACE-1-0-G,r2i1p1f1,pr,MAM,4.5,0.8,4.570557952810575
KACE-1-0-G,r2i1p1f1,pr,JJA,7.6,-0.5,7.616429609731846
KACE-1-0-G,r2i1p1f1,pr,SON,4.7,-0.9,4.78539444560216
KACE-1-0-G,r3i1p1f1,pr,DJF,4.9,-1.4,5.096076922496364
KACE-1-0-G,r3i1p1f1,pr,MAM,6.7,-2.9,7.3006848993775915
KACE-1-0-G,r3i1p1f1,pr,JJA,8.4,-4.8,9.674709297958259
KACE-1-0-G,r3i1p1f1,pr,SON,5.8,1.3,5.943904440685432
MIROC6,r1i1p1f1,pr,DJF,3.7,-1,3.83275357934736
MIROC6,r1i1p1f1,pr,MAM,3.8,0.3,3.8118237105091834
MIROC6,r1i1p1f1,pr,JJA,5.8,-0.7,5.842088667591412
MIROC6,r1i1p1f1,pr,SON,0.6,-1.6,1.7088007490635064
MIROC6,r2i1p1f1,pr,DJF,4.1,-1,4.220189569201838
MIROC6,r2i1p1f1,pr,MAM,4.2,-0.3,4.21070065428546
MIROC6,r2i1p1f1,pr,JJA,7,-1.9,7.2532751223154355
MIROC6,r2i1p1f1,pr,SON,4.2,-1.3,4.396589587396122
MIROC6,r3i1p1f1,pr,DJF,4.6,1.6,4.870318264754368
MIROC6,r3i1p1f1,pr,MAM,5.9,1,5.984145720150872
MIROC6,r3i1p1f1,pr,JJA,6.6,0.1,6.6007575322836995
MIROC6,r3i1p1f1,pr,SON,4.6,1.7,4.904079934095691
MIROC6,r4i1p1f1,pr,DJF,5.1,-2.5,5.67978872846517
MIROC6,r4i1p1f1,pr,MAM,5.5,-1.9,5.818934610390462
MIROC6,r4i1p1f1,pr,JJA,6.5,-0.9,6.5620118866091675
MIROC6,r4i1p1f1,pr,SON,4.9,1.2,5.044799302251776
MIROC6,r5i1p1f1,pr,DJF,5.5,3.1,6.313477647065839
MIROC6,r5i1p1f1,pr,MAM,4.9,0.4,4.9162994213127424
MIROC6,r5i1p1f1,pr,JJA,6.3,-0.7,6.338769596696191
MIROC6,r5i1p1f1,pr,SON,4.9,1.6,5.15460958754395
MPI-ESM1-2-HR,r1i1p1f1,pr,DJF,4.1,-1.1,4.244997055358225
MPI-ESM1-2-HR,r1i1p1f1,pr,MAM,5.6,-0.3,5.60802995712398
MPI-ESM1-2-HR,r1i1p1f1,pr,JJA,8.8,-1,8.856635930193812
MPI-ESM1-2-HR,r1i1p1f1,pr,SON,5,0.6,5.035871324805669
MPI-ESM1-2-HR,r2i1p1f1,pr,DJF,4.7,0.3,4.709564735726647
MPI-ESM1-2-HR,r2i1p1f1,pr,MAM,4.7,0.2,4.70425339453563
MPI-ESM1-2-HR,r2i1p1f1,pr,JJA,8.4,0.5,8.414867794564572
MPI-ESM1-2-HR,r2i1p1f1,pr,SON,4.9,1,5.000999900019996
MPI-ESM1-2-HR,r3i1p1f1,pr,DJF,5.4,0.3,5.408326913195984
MPI-ESM1-2-HR,r3i1p1f1,pr,MAM,5.4,-1.9,5.724508712544685
MPI-ESM1-2-HR,r3i1p1f1,pr,JJA,8.1,-0.7,8.130190649671137
MPI-ESM1-2-HR,r3i1p1f1,pr,SON,5.8,-0.3,5.807753438292642
MPI-ESM1-2-HR,r4i1p1f1,pr,DJF,4,0,4
MPI-ESM1-2-HR,r4i1p1f1,pr,MAM,4.7,0,4.7
