Model,Member,value,Var,Season,Stat,Rank
INM-CM5-0,r1i1p1f1,9.920685460188729,All,Annual,Both,3
NorESM2-LM,r1i1p1f1,10.302912209661892,All,Annual,Both,3
FGOALS-g3,r4i1p1f1,10.443658362853512,All,Annual,Both,3
MRI-ESM2-0,r2i1p1f1,10.758252646224669,All,Annual,Both,3
ACCESS-ESM1-5,r2i1p1f1,10.932520294973163,All,Annual,Both,3
EC-Earth3,r3i1p1f1,10.95901455423799,All,Annual,Both,3
ACCESS-CM2,r2i1p1f1,10.989540481749003,All,Annual,Both,3
CESM2-LENS,r7i1p1f1,11.119802156513401,All,Annual,Both,3
EC-Earth3-Veg,r5i1p1f1,11.285388783732712,All,Annual,Both,3
MIROC6,r3i1p1f1,11.298229949863833,All,Annual,Both,3
HadGEM3-GC31-LL,r1i1p1f3,11.360017605620156,All,Annual,Both,3
IPSL-CM6A-LR,r8i1p1f1,11.57238091319154,All,Annual,Both,3
CanESM5,r6i1p1f1,12.108261642366333,All,Annual,Both,3
MPI-ESM1-2-HR,r6i1p1f1,12.31097071720991,All,Annual,Both,3
MPI-ESM1-2-LR,r8i1p1f1,12.581732790041277,All,Annual,Both,3
AWI-CM-1-1-MR,r4i1p1f1,12.854571171377124,All,Annual,Both,3
KACE-1-0-G,r3i1p1f1,14.45371924454048,All,Annual,Both,3
